"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 11 12:48:57 IST 2024","Sun Feb 11 12:49:04 IST 2024","7004","","Check if Employee Exist","","","","""before each"" hook for Check if Employee Exist",""
"passed","Thu Feb 08 16:06:45 IST 2024","Thu Feb 08 16:06:58 IST 2024","12671","","Check if OrangeHRM Official Page is opening","","","","Open Official Page",""
"broken","Thu Feb 08 16:11:10 IST 2024","Thu Feb 08 16:11:32 IST 2024","22399","","Check if Employee Exist","","","","Add Employee",""
"passed","Thu Feb 08 14:59:32 IST 2024","Thu Feb 08 14:59:44 IST 2024","12211","","Check if OrangeHRM Official Page is opening","","","","Open Official Page",""
"passed","Thu Feb 08 16:11:32 IST 2024","Thu Feb 08 16:11:35 IST 2024","2860","","Check if Employee Exist","","","","""after each"" hook for Check if Employee Exist",""
"broken","Thu Feb 08 14:59:31 IST 2024","Thu Feb 08 14:59:54 IST 2024","23047","","Check if Employee Exist","","","","Edit Employee",""
"passed","Sun Feb 11 12:49:41 IST 2024","Sun Feb 11 12:49:55 IST 2024","13815","","Check if Employee Exist After Deletion","","","","Delete Employee",""
"passed","Sun Feb 11 12:49:41 IST 2024","Sun Feb 11 12:49:46 IST 2024","5337","","Check if Employee Exist After Deletion","","","","""before each"" hook for Check if Employee Exist After Deletion",""
"passed","Sun Feb 11 12:49:55 IST 2024","Sun Feb 11 12:49:58 IST 2024","3108","","Check if Employee Exist After Deletion","","","","""after each"" hook for Check if Employee Exist After Deletion",""
"passed","Sun Feb 11 12:51:01 IST 2024","Sun Feb 11 12:51:07 IST 2024","6671","","Check if OrangeHRM Official Page is opening","","","","""before each"" hook for Check if OrangeHRM Official Page is opening",""
"passed","Thu Feb 08 15:01:21 IST 2024","Thu Feb 08 15:01:28 IST 2024","7630","","Check if OrangeHRM Official Page is opening","","","","""before each"" hook for Check if OrangeHRM Official Page is opening",""
"passed","Thu Feb 08 16:15:47 IST 2024","Thu Feb 08 16:15:55 IST 2024","8594","","Check if OrangeHRM Support is opening","","","","Support customer care details",""
"passed","Sun Feb 11 12:51:01 IST 2024","Sun Feb 11 12:51:12 IST 2024","11596","","Check if OrangeHRM Official Page is opening","","","","Open Official Page",""
"passed","Sun Feb 11 12:48:57 IST 2024","Sun Feb 11 12:49:18 IST 2024","21313","","Check if Employee Exist","","","","Add Employee",""
"passed","Thu Feb 08 16:15:55 IST 2024","Thu Feb 08 16:15:59 IST 2024","3398","","Check if OrangeHRM Support is opening","","","","""after each"" hook for Check if OrangeHRM Support is opening",""
"passed","Tue Feb 06 20:41:26 IST 2024","Tue Feb 06 20:41:31 IST 2024","4601","","My Login application","","","","should login with valid credentials",""
"passed","Sun Feb 11 12:49:18 IST 2024","Sun Feb 11 12:49:21 IST 2024","3078","","Check if Employee Exist","","","","""after each"" hook for Check if Employee Exist",""
"passed","Thu Feb 08 14:59:44 IST 2024","Thu Feb 08 14:59:48 IST 2024","4187","","Check if OrangeHRM Official Page is opening","","","","""after each"" hook for Check if OrangeHRM Official Page is opening",""
"passed","Sun Feb 11 12:50:20 IST 2024","Sun Feb 11 12:50:26 IST 2024","6027","","Check if Employee Get Details gets modified","","","","""before each"" hook for Check if Employee Get Details gets modified",""
"broken","Thu Feb 08 15:01:21 IST 2024","Thu Feb 08 15:01:41 IST 2024","19874","","Check if Employee Exist","","","","Delete Employee",""
"passed","Thu Feb 08 14:59:32 IST 2024","Thu Feb 08 14:59:43 IST 2024","11844","","Check if OrangeHRM Official Page is opening","","","","""before each"" hook for Check if OrangeHRM Official Page is opening",""
"passed","Thu Feb 08 16:11:10 IST 2024","Thu Feb 08 16:11:18 IST 2024","8748","","Check if Employee Exist","","","","""before each"" hook for Check if Employee Exist",""
"broken","Thu Feb 08 15:01:19 IST 2024","Thu Feb 08 15:01:43 IST 2024","23964","","Check if Employee Exist","","","","Add Employee",""
"passed","Tue Feb 06 20:42:06 IST 2024","Tue Feb 06 20:42:11 IST 2024","4976","","My Login application","","","","should login with valid credentials",""
"passed","Sun Feb 11 12:50:20 IST 2024","Sun Feb 11 12:50:35 IST 2024","14746","","Check if Employee Get Details gets modified","","","","Edit Employee",""
"passed","Sun Feb 11 12:51:58 IST 2024","Sun Feb 11 12:52:01 IST 2024","3458","","Check if OrangeHRM Support is opening","","","","""after each"" hook for Check if OrangeHRM Support is opening",""
"passed","Thu Feb 08 16:15:47 IST 2024","Thu Feb 08 16:15:53 IST 2024","6670","","Check if OrangeHRM Support is opening","","","","""before each"" hook for Check if OrangeHRM Support is opening",""
"passed","Thu Feb 08 16:06:45 IST 2024","Thu Feb 08 16:06:52 IST 2024","6580","","Check if OrangeHRM Official Page is opening","","","","""before each"" hook for Check if OrangeHRM Official Page is opening",""
"passed","Thu Feb 08 16:05:39 IST 2024","Thu Feb 08 16:05:54 IST 2024","15033","","Check if Employee Exist","","","","Delete Employee",""
"passed","Thu Feb 08 15:01:43 IST 2024","Thu Feb 08 15:01:46 IST 2024","3288","","Check if Employee Exist","","","","""after each"" hook for Check if Employee Exist",""
"passed","Tue Feb 06 20:43:20 IST 2024","Tue Feb 06 20:43:26 IST 2024","6138","","Handling Alerts","","","","Alerts methods - accept Alert",""
"passed","Thu Feb 08 15:01:21 IST 2024","Thu Feb 08 15:01:41 IST 2024","20558","","Check if OrangeHRM Official Page is opening","","","","Open Official Page",""
"skipped","Wed Feb 07 13:56:01 IST 2024","Wed Feb 07 13:56:01 IST 2024","1","","Check if Employee Exist","","","","Add and Check employee",""
"passed","Sun Feb 11 12:51:49 IST 2024","Sun Feb 11 12:51:58 IST 2024","8218","","Check if OrangeHRM Support is opening","","","","Support customer care details",""
"passed","Thu Feb 08 14:59:56 IST 2024","Thu Feb 08 14:59:59 IST 2024","3703","","Check if Employee Exist","","","","""after each"" hook for Check if Employee Exist",""
"passed","Thu Feb 08 16:06:12 IST 2024","Thu Feb 08 16:06:27 IST 2024","14723","","Check if Employee Exist","","","","Edit Employee",""
"passed","Tue Feb 06 20:43:26 IST 2024","Tue Feb 06 20:43:31 IST 2024","5568","","Handling Alerts","","","","Alerts methods - dismiss alert",""
"passed","Thu Feb 08 16:06:58 IST 2024","Thu Feb 08 16:07:02 IST 2024","3396","","Check if OrangeHRM Official Page is opening","","","","""after each"" hook for Check if OrangeHRM Official Page is opening",""
"passed","Thu Feb 08 14:59:32 IST 2024","Thu Feb 08 14:59:52 IST 2024","19944","","Check if Employee Exist","","","","Add Employee",""
"passed","Thu Feb 08 14:59:32 IST 2024","Thu Feb 08 14:59:44 IST 2024","11957","","Check if Employee Exist","","","","""before each"" hook for Check if Employee Exist",""
"passed","Thu Feb 08 14:59:31 IST 2024","Thu Feb 08 14:59:56 IST 2024","24042","","Check if Employee Exist","","","","Delete Employee",""
"passed","Sun Feb 11 12:51:49 IST 2024","Sun Feb 11 12:51:56 IST 2024","6636","","Check if OrangeHRM Support is opening","","","","""before each"" hook for Check if OrangeHRM Support is opening",""
"passed","Thu Feb 08 15:01:41 IST 2024","Thu Feb 08 15:01:46 IST 2024","4556","","Check if OrangeHRM Official Page is opening","","","","""after each"" hook for Check if OrangeHRM Official Page is opening",""
"passed","Sun Feb 11 12:50:35 IST 2024","Sun Feb 11 12:50:38 IST 2024","3011","","Check if Employee Get Details gets modified","","","","""after each"" hook for Check if Employee Get Details gets modified",""
"passed","Tue Feb 06 20:41:24 IST 2024","Tue Feb 06 20:41:29 IST 2024","5251","","My Login application","","","","should login with valid credentials",""
"passed","Thu Feb 08 15:01:20 IST 2024","Thu Feb 08 15:01:39 IST 2024","18113","","Check if Employee Exist","","","","Edit Employee",""
"passed","Tue Feb 06 20:43:29 IST 2024","Tue Feb 06 20:43:31 IST 2024","2932","","Handling Alerts","","","","Alert methods - Send Msg to Alert",""
"passed","Sun Feb 11 12:51:12 IST 2024","Sun Feb 11 12:51:15 IST 2024","3258","","Check if OrangeHRM Official Page is opening","","","","""after each"" hook for Check if OrangeHRM Official Page is opening",""
"passed","Thu Feb 08 15:01:21 IST 2024","Thu Feb 08 15:01:29 IST 2024","8480","","Check if Employee Exist","","","","""before each"" hook for Check if Employee Exist",""
